tmp_free,cold_start,agent_memory_avg,function_error,billed_mb_ms,total_network,billed_duration,init_duration,fd_use,tmp_max,used_memory_max,shutdown,agent_memory_max,total_memory,request_id,memory_size,cpu_system_time,insights_duration,version,duration,memory_used,rx_bytes,insight_init_duration,shutdown_reason,tmp_used,tx_bytes,function_name,cpu_user_time,threads_max,fd_max,memory_utilisation,payload
538320896,False,10,,8511360,15252,4433,,21,550461440,1288,0,10,1920,2ca0e1b9-746d-4161-bba5-032d8e45eb03,,300,4432,RAM1920,,,7557,0,0,12140544,7695,workbench-matmul,4050,10,1024,67,{'n': 4410}
538324992,True,5,,713088,0,5571,,22,550461440,128,1,8,128,e500665a-2613-4de8-b173-9cfaf287e045,,100,5570,RAM128,,,0,1231,failure,12136448,0,workbench-matmul,80,9,1024,100,{'n': 2510}
538320896,False,11,,53808384,15868,20018,,21,550461440,1640,0,11,2688,65804873-58df-4a4d-a998-2e69002cfde7,,1110,20017,RAM2688,,,7959,0,0,12140544,7909,workbench-matmul,28640,10,1024,61,{'n': 8110}
538320896,False,10,,5923584,23262,2571,,21,550461440,654,0,10,2304,996832ee-5dfe-487e-88d3-bd5198b6a509,,120,2570,RAM2304,,,7803,0,0,12140544,15459,workbench-matmul,2800,10,1024,28,{'n': 3910}
538320896,False,11,,5841792,3731,5071,,21,550461440,756,0,11,1152,c9904c34-60d6-41cf-944c-13fd70aa25e5,,160,5070,RAM1152,,,496,0,0,12140544,3235,workbench-matmul,3120,10,1024,65,{'n': 3810}
538320896,False,10,,602880,3795,471,,21,550461440,528,0,10,1280,ad3afd42-0144-492d-aaa5-7824824b28b7,,10,470,RAM1280,,,496,0,0,12140544,3299,workbench-matmul,330,10,1024,41,{'n': 1710}
538320896,False,10,,7095424,15696,7919,,21,550461440,500,0,10,896,4c135ae0-2aa8-4df4-a203-a1793cfb087b,,180,7918,RAM896,,,7779,0,0,12140544,7917,workbench-matmul,3480,10,1024,55,{'n': 4110}
,,,,,,,,,,,,,,b94ceed0-f07c-4f1a-999c-43afcaea3a5c,,,,,,,,,,,,,,,,,{'n': 3510}
538320896,False,10,,14652288,15544,4977,,21,550461440,1144,0,10,2944,818e45cb-e046-40ce-8eae-d4ee0529438e,,270,4976,RAM2944,,,7713,0,0,12140544,7831,workbench-matmul,7670,10,1024,38,{'n': 5210}
538324992,True,8,,191488,84,88,,22,550461440,137,0,9,2176,707a3d62-8ac9-46b8-86a4-2aec398765b0,,70,87,RAM2176,,,42,1252,0,12136448,42,workbench-matmul,100,10,1024,6,{'n': 1010}
538316800,False,10,,2452480,3797,4790,,21,550461440,513,1,11,512,7df96d3c-fdb9-4eeb-a951-ef590d510a14,,810,4789,RAM512,,,538,0,failure,12144640,3259,workbench-matmul,450,9,1024,100,{'n': 7210}
