version,total_memory,tmp_max,cpu_user_time,fd_use,tmp_used,rx_bytes,request_id,payload,insights_duration,shutdown,duration,threads_max,init_duration,agent_memory_max,agent_memory_avg,total_network,billed_duration,function_error,cold_start,insight_init_duration,billed_mb_ms,fd_max,memory_used,memory_size,memory_utilisation,shutdown_reason,cpu_system_time,start_time,tmp_free,function_name,tx_bytes,used_memory_max
RAM384,384,550461440,260,21,12140544,222,bc05c601-b49b-4431-a2d9-f196dd2efbbb,{'n': 4010},10610,1,10611,9,,9,8,300,10611,Runtime exited with error: signal: killed,False,0,4074624,1024,384,384,100,failure,550,1722318971427,538320896,workbench-matmul,78,384
RAM2560,2560,550461440,8430,22,12136448,42,9335cf1c-226e-4826-80f0-6656bcc7d2d9,{'n': 5310},6522,0,6523,10,1263,9,9,84,6523,,True,1263,16698880,1024,770,2560,30,0,800,1722319021353,538324992,workbench-matmul,42,770
RAM2688,2688,550461440,30640,21,12140544,7767,9b6f3918-7518-4054-8fe5-04de4ed4e7ff,{'n': 8310},21151,0,21152,10,,10,10,15692,21152,,False,0,56856576,1024,2340,2688,87,0,1440,1722319165339,538320896,workbench-matmul,7925,2340
RAM1408,1408,550461440,2980,21,12140544,7557,94ce306f-6587-46a4-9bb2-a5d6ab3eaefe,{'n': 3710},3870,0,3871,10,,10,10,15392,3871,,False,0,5450368,1024,570,1408,40,0,110,1722318951064,538320896,workbench-matmul,7835,570
RAM768,768,550461440,4390,22,12136448,42,0c60bc3b-a157-4e95-9388-6f2a7ebaf085,{'n': 4210},11067,0,11068,9,1287,9,9,84,11068,,True,1287,8500224,1024,527,768,68,0,420,1722318926419,538324992,workbench-matmul,42,527
RAM256,256,550461440,200,21,12140544,496,828bd6c8-dd0b-4587-91fd-4f42cfe050d9,{'n': 6110},3729,1,3730,10,,10,9,3756,3730,Runtime exited with error: signal: killed,False,0,954880,1024,256,256,100,failure,130,1722319047966,538320896,workbench-matmul,3260,256
RAM1664,1664,550461440,21670,21,12140544,7917,ca0877bd-2e5f-457a-822a-b3c36b09915f,{'n': 7410},23776,0,23777,10,,10,10,15914,23777,,False,0,39564928,1024,1378,1664,82,0,680,1722319131106,538320896,workbench-matmul,7997,1378
RAM2688,2688,550461440,37580,22,12140544,7779,780e99df-a826-4dc0-a6e9-fcc1984e00c0,{'n': 8910},26400,0,26401,10,,10,10,15708,26401,,False,0,70965888,1024,1951,2688,72,0,1710,1722319056551,538320896,workbench-matmul,7929,1951
RAM2048,2048,550461440,14210,21,12140544,7833,d0ab1249-d0f0-481b-8b0a-69681ef0ee18,{'n': 6410},12960,0,12961,10,,10,10,15756,12961,,False,0,26544128,1024,1717,2048,83,0,370,1722319050950,538320896,workbench-matmul,7923,1717
RAM2944,2944,550461440,640,22,12136448,42,78c215e0-407e-466d-ba31-bb52e88a7cb1,{'n': 2210},508,0,509,10,,10,9,84,509,,False,0,1498496,1024,232,2944,7,0,160,1722318921710,538324992,workbench-matmul,42,232
RAM2688,2688,550461440,3630,21,12140544,0,bef283e2-0b9b-4cfb-9979-6e7b2c41094c,{'n': 4010},2609,0,2610,10,,11,11,0,2610,,False,0,7015680,1024,613,2688,22,0,190,1722318959831,538320896,workbench-matmul,0,613
RAM2944,2944,550461440,9600,21,12140544,7899,7314ddad-f267-402e-950d-7d409da6458a,{'n': 5910},6748,0,6749,10,,11,11,15762,6749,,False,0,19869056,1024,1360,2944,46,0,310,1722319042233,538320896,workbench-matmul,7863,1360
RAM1664,1664,550461440,1890,21,12140544,496,85a5be9a-5f40-4d12-9424-c18973bf3781,{'n': 3210},2128,0,2129,9,,10,10,3705,2129,,False,0,3542656,1024,614,1664,36,0,110,1722318942352,538320896,workbench-matmul,3209,614
RAM2688,2688,550461440,12910,21,12140544,7833,b632c680-3d1d-4f2b-baf9-4b022ba1732c,{'n': 6210},9028,0,9029,10,,11,11,15686,9029,,False,0,24269952,1024,1565,2688,58,0,460,1722319052059,538320896,workbench-matmul,7853,1565
RAM1920,1920,550461440,80,22,12136448,42,20f68c38-ad3f-43c8-b198-2bc17f3ab87f,{'n': 910},74,0,75,10,1271,9,8,84,75,,True,1271,144000,1024,136,1920,7,0,80,1722318918824,538324992,workbench-matmul,42,136
RAM1920,1920,550461440,1930,21,12140544,7611,e282913a-132b-4b13-be1d-8d21d1e0d6cf,{'n': 3210},1904,0,1905,10,,10,10,15376,1905,,False,0,3657600,1024,723,1920,37,0,100,1722318972281,538320896,workbench-matmul,7765,723
RAM2304,2304,550461440,480,21,12140544,132,51131023-3fa4-4802-bc42-db9469fcd775,{'n': 2010},421,0,422,10,,10,10,9747,422,,False,0,972288,1024,356,2304,15,0,60,1722318926538,538320896,workbench-matmul,9615,356
RAM1536,1536,550461440,1240,21,12140544,7611,54ef4976-653e-4f4c-807e-17de92e07246,{'n': 9210},4707,1,4708,10,,11,10,15390,4708,Runtime exited with error: signal: killed,False,0,7231488,1024,1536,1536,100,failure,2520,1722319009803,538320896,workbench-matmul,7779,1536
RAM1280,1280,550461440,130,22,12136448,42,d742a3de-8355-4b02-8126-4651cec427f8,{'n': 1310},272,0,273,10,1121,9,9,84,273,,True,1121,349440,1024,152,1280,11,0,70,1722318917901,538324992,workbench-matmul,42,152
RAM2048,2048,550461440,1490,21,12140544,7623,d5fe92eb-0ebb-449a-85ef-fda712ecc469,{'n': 9910},4690,1,4691,10,,11,11,15402,4691,Runtime exited with error: signal: killed,False,0,9607168,1024,2048,2048,100,failure,2940,1722319099449,538320896,workbench-matmul,7779,2048
RAM1280,1280,550461440,1260,21,12140544,0,29154b76-12f3-43d0-b6b8-e00ae5dea359,{'n': 9010},6282,1,6283,9,,10,10,0,6283,Runtime exited with error: signal: killed,False,0,8042240,1024,1280,1280,100,failure,1920,1722319143837,538320896,workbench-matmul,0,1280
RAM1792,1792,550461440,15680,21,12140544,222,59c98f77-a9de-4b50-89d2-0752641184ea,{'n': 6610},17212,0,17213,9,,9,9,300,17213,,False,0,30845696,1024,1120,1792,62,0,470,1722319094705,538320896,workbench-matmul,78,1120
RAM128,128,550461440,10,21,12140544,0,966c50b2-a89c-43af-a8e3-ca5859482229,{'n': 510},328,0,329,9,,10,10,0,329,,False,0,42112,1024,110,128,85,0,0,1722318942294,538320896,workbench-matmul,0,110
RAM2688,2688,550461440,12930,22,12140544,7905,04ca4673-d8d5-4f40-800f-ad2d54c5f543,{'n': 6210},9081,0,9082,10,,11,11,15888,9082,,False,0,24412416,1024,1459,2688,54,0,520,1722319099758,538320896,workbench-matmul,7983,1459
RAM3008,3008,550461440,11210,21,12140544,7899,f8f5d0a5-62d6-48cd-9ca0-5b7f8ff3edb5,{'n': 5910},7104,0,7105,10,,10,10,15816,7105,,False,0,21371840,1024,1460,3008,48,0,430,1722319092645,538320896,workbench-matmul,7917,1460
RAM896,896,550461440,2200,22,12140544,496,6bd79b57-0831-4ce3-9379-1b57d1ae0e72,{'n': 3310},4589,0,4590,10,,10,10,3705,4590,,False,0,4112640,1024,548,896,61,0,110,1722318941419,538320896,workbench-matmul,3209,548
RAM896,896,550461440,8100,21,12140544,7833,c8f8afbf-911c-4c0d-81d6-0de548852283,{'n': 5210},17255,0,17256,10,,10,10,15678,17256,,False,0,15461376,1024,747,896,83,0,620,1722319002614,538320896,workbench-matmul,7845,747
RAM1408,1408,550461440,12700,21,12140544,264,fc6bad64-0320-413c-b0ad-c001743344bd,{'n': 6110},16882,0,16883,10,,11,11,384,16883,,False,0,23771264,1024,1025,1408,72,0,500,1722318976899,538320896,workbench-matmul,120,1025
RAM640,640,550461440,160,22,12136448,42,aa75f147-653c-496d-b64e-889b26b92130,{'n': 1310},598,0,599,10,1296,9,8,84,599,,True,1296,383360,1024,156,640,24,0,120,1722318915719,538324992,workbench-matmul,42,156
RAM1408,1408,550461440,11010,21,12140544,264,97d605f9-af5b-4490-920a-d0e08af6a63a,{'n': 5810},15516,0,15517,9,,10,10,3412,15517,,False,0,21847936,1024,892,1408,63,0,240,1722319069649,538320896,workbench-matmul,3148,892
RAM640,640,550461440,670,22,12140544,107933,d4fd76bb-84d0-4ad5-af44-9198d0fd9633,{'n': 2210},2168,0,2169,10,,10,10,166764,2169,,False,0,1388160,1024,356,640,55,0,50,1722318924130,538320896,workbench-matmul,58831,356
RAM3008,3008,550461440,17150,21,12140544,7833,dbd92645-af57-451a-9271-80e108b8fa76,{'n': 6810},10865,0,10866,10,,10,10,15686,10866,,False,0,32684928,1024,1195,3008,39,0,720,1722319022479,538320896,workbench-matmul,7853,1195
RAM2048,2048,550461440,0,21,12140544,0,f455aa34-5657-4012-b419-3ae1cb23cbc0,{'n': 510},18,0,19,10,,11,11,0,19,,False,0,38912,1024,675,2048,32,0,10,1722318942464,538320896,workbench-matmul,0,675
RAM2432,2432,550461440,560,21,12140544,222,ebe2344a-a06e-4b80-a358-cd4c142260a3,{'n': 2110},476,0,477,10,,10,10,300,477,,False,0,1160064,1024,631,2432,25,0,80,1722318956138,538320896,workbench-matmul,78,631
RAM1920,1920,550461440,40,22,12136448,42,816bcb55-2c7d-4f99-8af4-2d0b3a9a1d92,{'n': 410},22,0,23,10,1286,9,9,84,23,,True,1286,44160,1024,119,1920,6,0,40,1722318918298,538324992,workbench-matmul,42,119
